Key Index-0 Index-T Lifetime ReportCount CountStretch TimeStretch
19453552991979 36351159 57210520 20859361 27 1.125 1.12436
21038357466071 28586930 43068191 14481261 30 1.25 1.06769
12998822434772 36342878 51011887 14669009 39 1.625 1.08584
12127968701437 36336313 52887508 16551195 30 1.25 1.13283
25694122708377 40840714 56874032 16033318 32 1.33333 1.13367
34126961057369 36322715 49152265 12829550 25 1.04167 1.09416
4548393654515 35465301 43723314 8258013 28 1.16667 1.42129
8804437049870 36281567 50791127 14509560 26 1.08333 1.18754
8477161354184 34947317 50749565 15802248 25 1.04167 1.77261
29589222019306 4512328 14991378 10479050 27 1.125 1.36859
13653270666913 36267930 51215134 14947204 27 1.125 1.36413
20908726976716 34598205 46992990 12394785 26 1.08333 1.27167
15166599971275 8469944 29815238 21345294 29 1.20833 1.22421
7588537542107 36238619 46541002 10302383 33 1.375 1.06419
17359529032908 37679245 53877843 16198598 30 1.25 1.1232
30120104179220 12630817 34123480 21492663 27 1.125 1.16886
27393524572298 36194292 46416609 10222317 27 1.125 1.38579
33074723537413 36166716 46332740 10166024 33 1.375 1.08554
20702788885530 36164024 54596017 18431993 27 1.125 1.11187
10756536482844 36141350 44061437 7920087 30 1.25 1.29663
11290967634016 36127384 52882567 16755183 33 1.375 1.17851
150432985480 36121233 57121173 20999940 27 1.125 1.12779
4509068539376 36116533 55645604 19529071 30 1.25 1.21297
17716099150125 36111272 55991732 19880460 29 1.20833 1.19179
7776834223005 36105296 48129293 12023997 25 1.04167 1.18555
27533188760357 36089913 46311582 10221669 27 1.125 1.39609
26202784832029 36075757 43696164 7620407 29 1.20833 1.4601
23131317632373 36059777 43707756 7647979 29 1.20833 1.45692
34455519995179 36054467 56645585 20591118 27 1.125 1.15342
10108844014414 36043242 47677582 11634340 26 1.08333 1.23059
25221839957050 22713356 40470554 17757198 31 1.29167 1.20149
10730244290068 36035509 45187333 9151824 32 1.33333 1.13368
8162539401751 10866460 19645609 8779149 30 1.25 1.08874
8155192595253 38373591 48959598 10586007 25 1.04167 1.13232
7997458228171 32865649 41472340 8606691 26 1.08333 1.29931
33886789205785 28885068 36701384 7816316 27 1.125 1.13452
16084223291589 13190719 22629897 9439178 28 1.16667 1.01578
3248873473560 35992080 57320284 21328204 26 1.08333 1.11648
34785536241323 35973133 43568630 7595497 30 1.25 1.4784
22232166913579 38250078 48177032 9926954 26 1.08333 1.21994
3304650947917 13661225 28705866 15044641 26 1.08333 1.18234
21546533837224 13516864 30955665 17438801 31 1.29167 1.20903
8533411298821 43717491 58296965 14579474 28 1.16667 1.31974
27024651498394 35925376 54654540 18729164 27 1.125 1.10697
19592094178271 35900619 49554188 13653569 24 1 1.05904
22294967751151 35893104 44518143 8625039 27 1.125 1.31121
11993702496836 35890792 50231837 14341045 24 1 1.00896
30259191410043 49742361 57932798 8190437 30 1.25 1.22854
11477992562743 35867067 44710802 8843735 26 1.08333 1.28173
3893488978273 11278721 18669970 7391249 30 1.25 1.44952
22689880866477 35863920 51674955 15811035 25 1.04167 1.71366
14527878006962 35847358 55724079 19876721 29 1.20833 1.2053
6038040211725 20819664 38051868 17232204 30 1.25 1.16543
20875223614059 29481005 44074217 14593212 39 1.625 1.08587
11908927095084 35832070 45168476 9336406 26 1.08333 1.21784
7749769517010 9176789 30042409 20865620 29 1.20833 1.21847
13161767786084 35803733 57435708 21631975 26 1.08333 1.10951
28344926871914 18891211 28642798 9751587 26 1.08333 1.28778
28397956823153 35761834 43736125 7974291 28 1.16667 1.43467
17819090998372 35753188 43778259 8025071 30 1.25 1.22991
10784334580741 35728503 44352099 8623596 27 1.125 1.33051
19392396124695 35720429 56648778 20928349 27 1.125 1.1508
26096480345141 5983306 15412161 9428855 30 1.25 1.03107
3906846067217 22400493 43651351 21250858 27 1.125 1.1671
4798340141190 1638541 8975246 7336705 25 1.04167 1.06157
13100135147916 35688015 44836993 9148978 30 1.25 1.08594
27020823056790 35683781 43554845 7871064 28 1.16667 1.4634
6970814727751 30059310 43684396 13625086 26 1.08333 1.02671
29498491494508 35638753 49289130 13650377 24 1 1.07847
14897913715238 35631665 54056515 18424850 28 1.16667 1.14119
30512003876883 35630730 46544036 10913306 35 1.45833 1.06032
9568845349803 21209544 37378673 16169129 24 1 1.02314
8777536271768 35706990 43284923 7577933 30 1.25 1.51695
32343993307196 16182649 29160435 12977786 26 1.08333 1.17635
11510152911682 10017327 31176420 21159093 27 1.125 1.16185
16540295520325 42915541 63416676 20501135 27 1.125 1.13105
26450091072941 35599641 50101257 14501616 24 1 1.01786
31975577877396 35589657 43206327 7616670 30 1.25 1.52464
25852934374246 3964771 23255496 19290725 26 1.08333 1.09775
12965453042746 35341276 45903681 10562405 28 1.16667 1.42193
19652285398069 35548252 44818505 9270253 31 1.29167 1.08681
25617876763115 35535368 49609618 14074250 24 1 1.05334
15536353808348 35533609 52626835 17093226 30 1.25 1.14387
25952896238412 35511460 44846143 9334683 26 1.08333 1.25241
34056853706889 35501713 43418086 7916373 26 1.08333 1.07962
33135794222852 35501021 57335257 21834236 26 1.08333 1.1131
1119899552937 35469784 47341283 11871499 37 1.54167 1.05488
12708582154675 35446601 49094466 13647865 25 1.04167 1.09275
20133710768370 35445819 57162783 21716964 26 1.08333 1.12165
4418745430393 47511061 56989251 9478190 32 1.33333 1.13088
3038376446766 35395720 45171423 9775703 31 1.29167 1.04622
13207113619480 35393736 49893020 14499284 24 1 1.03223
12950507940902 35392090 49039564 13647474 25 1.04167 1.09678
17698139104394 35387883 50325421 14937538 24 1 1.00234
11903012295071 9642444 27453662 17811218 31 1.29167 1.22432
22826078607126 35357300 52248085 16890785 26 1.08333 1.07484
17824945210088 35292861 48939474 13646613 25 1.04167 1.10412
4450303217201 35286477 44363723 9077246 27 1.125 1.31271
32900018583870 29058913 41019119 11960206 26 1.08333 1.25328
18835703422497 35275883 47676725 12400842 26 1.08333 1.2164
2246187212636 35271647 51029489 15757842 30 1.25 1.10771
2627276655179 35270493 56192697 20922204 28 1.16667 1.17264
1589250775152 9881992 28417230 18535238 28 1.16667 1.16357
961779933462 35300650 43064861 7764211 29 1.20833 1.53289
14879076777715 35241019 43671483 8430464 27 1.125 1.04471
26474892176570 35228871 46485879 11257008 27 1.125 1.34418
17750186002773 11525625 31469414 19943789 27 1.125 1.15702
21251394421090 56161208 64531283 8370075 26 1.08333 1.18781
9949012432658 3765271 18134126 14368855 27 1.125 1.26852
32384255282960 25688980 47211914 21522934 27 1.125 1.14628
28856640511847 12371712 31343630 18971918 28 1.16667 1.17169
13226323127605 18284426 26174669 7890243 30 1.25 1.26875
30215465487556 35153335 56776494 21623159 27 1.125 1.14004
8828264832947 35143306 43113759 7970453 29 1.20833 1.51296
24190863432183 41295933 55853762 14557829 27 1.125 1.27139
8286846808145 35140349 52028334 16887985 27 1.125 1.08786
31870815583591 35131946 43102318 7970372 29 1.20833 1.5144
2122193036244 45676435 63598999 17922564 28 1.16667 1.13973
11769231061678 1623289 16325560 14702271 26 1.08333 1.17197
16960042423189 35120644 55962538 20841894 28 1.16667 1.18435
8405423358196 35109324 47926781 12817457 26 1.08333 1.18986
34410626627068 35069808 47383561 12313753 38 1.58333 1.0464
29340122800891 35059045 56975343 21916298 26 1.08333 1.1291
15914747876973 35057195 43168247 8111052 28 1.16667 1.10851
28920536146464 35026079 43645746 8619667 27 1.125 1.41261
25146097806385 35012735 45902972 10890237 28 1.16667 1.4093
14703151339249 35009767 44920785 9911018 32 1.33333 1.07088
1329285565 1909693 9256616 7346923 24 1 1.02318
22006760875595 35005858 44337881 9332023 26 1.08333 1.30695
17077203009562 35005312 44337308 9331996 26 1.08333 1.30701
5746592726996 34955361 54468423 19513062 27 1.125 1.11221
24124458390985 27509287 47972217 20462930 26 1.08333 1.1167
12184782343556 34945544 46570361 11624817 27 1.125 1.32602
6671639560339 34924525 43999553 9075028 27 1.125 1.35292
15577756277251 34923805 43349192 8425387 28 1.16667 1.45732
3338096372549 34919168 42532717 7613549 26 1.08333 1.19907
4794212672868 34918667 44829401 9910734 32 1.33333 1.0801
9032756458477 34912853 51146500 16233647 24 1 1.72763
27299545656167 34880723 42979786 8099063 29 1.20833 1.52136
14585684300696 24142588 38509852 14367264 26 1.08333 1.16655
17238367351269 34874704 55164328 20289624 29 1.20833 1.22871
15312931421958 33900825 43511912 9611087 27 1.125 1.38397
