Key Index-0 Index-T Lifetime ReportCount CountStretch TimeStretch
19453552991979 36351159 57210520 20859361 27 1.125 1.14371
21038357466071 28586930 43068191 14481261 41 1.70833 1.08141
12998822434772 36342878 51011887 14669009 36 1.5 1.08542
12127968701437 36336313 52887508 16551195 31 1.29167 1.1509
25694122708377 40840714 56874032 16033318 36 1.5 1.15992
34126961057369 36322715 49152265 12829550 25 1.04167 1.11428
4548393654515 35465301 43723314 8258013 28 1.16667 1.46493
8804437049870 36281567 50791127 14509560 26 1.08333 1.20581
8477161354184 34947317 50749565 15802248 25 1.04167 1.81182
29589222019306 4512328 14991378 10479050 27 1.125 1.39566
13653270666913 36267930 51215134 14947204 26 1.08333 1.17142
20908726976716 34598205 46992990 12394785 27 1.125 1.29249
15166599971275 8469944 29815238 21345294 26 1.08333 1.0977
7588537542107 36238619 46541002 10302383 34 1.41667 1.09918
17359529032908 37679245 53877843 16198598 31 1.29167 1.13761
30120104179220 12630817 34123480 21492663 28 1.16667 1.18287
27393524572298 36194292 46416609 10222317 27 1.125 1.41104
33074723537413 36166716 46332740 10166024 35 1.45833 1.12099
20702788885530 36164024 54596017 18431993 28 1.16667 1.12909
10756536482844 36141350 44061437 7920087 31 1.29167 1.32714
11290967634016 36127384 52882567 16755183 31 1.29167 1.14936
150432985480 36121233 57121173 20999940 27 1.125 1.147
4509068539376 36116533 55645604 19529071 30 1.25 1.23363
17716099150125 36111272 55991732 19880460 29 1.20833 1.21209
7776834223005 36105296 48129293 12023997 26 1.08333 1.20701
27533188760357 36089913 46311582 10221669 28 1.16667 1.42134
26202784832029 36075757 43696164 7620407 29 1.20833 1.5074
23131317632373 36059777 43707756 7647979 29 1.20833 1.50405
34455519995179 36054467 56645585 20591118 28 1.16667 1.17301
10108844014414 36043242 47677582 11634340 26 1.08333 1.25277
25221839957050 22713356 40470554 17757198 31 1.29167 1.2155
10730244290068 36035509 45187333 9151824 34 1.41667 1.25956
8162539401751 10866460 19645609 8779149 31 1.29167 1.10846
8155192595253 38373591 48959598 10586007 25 1.04167 1.15669
7997458228171 32865649 41472340 8606691 27 1.125 1.32822
33886789205785 28885068 36701384 7816316 28 1.16667 1.17304
16084223291589 13190719 22629897 9439178 33 1.375 1.12655
3248873473560 35992080 57320284 21328204 27 1.125 1.1354
34785536241323 35973133 43568630 7595497 30 1.25 1.52585
22232166913579 38250078 48177032 9926954 26 1.08333 1.24593
3304650947917 13661225 28705866 15044641 26 1.08333 1.41954
21546533837224 13516864 30955665 17438801 33 1.375 1.23293
8533411298821 43717491 58296965 14579474 28 1.16667 1.36223
27024651498394 35925376 54654540 18729164 27 1.125 1.12391
19592094178271 35900619 49554188 13653569 24 1 1.07794
22294967751151 35893104 44518143 8625039 27 1.125 1.353
11993702496836 35890792 50231837 14341045 43 1.79167 1.08001
30259191410043 49742361 57932798 8190437 31 1.29167 1.2778
11477992562743 35867067 44710802 8843735 30 1.25 1.66799
3893488978273 11278721 18669970 7391249 30 1.25 1.4793
22689880866477 35863920 51674955 15811035 25 1.04167 1.75284
14527878006962 35847358 55724079 19876721 30 1.25 1.22559
6038040211725 20819664 38051868 17232204 24 1 1.00012
20875223614059 29481005 44074217 14593212 39 1.625 1.08573
11908927095084 35832070 45168476 9336406 29 1.20833 1.58372
7749769517010 9176789 30042409 20865620 29 1.20833 1.23845
13161767786084 35803733 57435708 21631975 30 1.25 1.28395
28344926871914 18891211 28642798 9751587 27 1.125 1.33409
28397956823153 35761834 43736125 7974291 28 1.16667 1.47987
17819090998372 35753188 43778259 8025071 30 1.25 1.2479
10784334580741 35728503 44352099 8623596 27 1.125 1.37231
19392396124695 35720429 56648778 20928349 28 1.16667 1.17007
26096480345141 5983306 15412161 9428855 32 1.33333 1.07907
3906846067217 22400493 43651351 21250858 28 1.16667 1.18406
4798340141190 1638541 8975246 7336705 26 1.08333 1.11293
13100135147916 35688015 44836993 9148978 31 1.29167 1.10173
27020823056790 35683781 43554845 7871064 29 1.20833 1.5092
6970814727751 30059310 43684396 13625086 32 1.33333 1.04498
29498491494508 35638753 49289130 13650377 25 1.04167 1.09738
14897913715238 35631665 54056515 18424850 29 1.20833 1.15842
30512003876883 35630730 46544036 10913306 36 1.5 1.09335
9568845349803 21209544 37378673 16169129 25 1.04167 1.04176
8777536271768 35706990 43284923 7577933 26 1.08333 1.13358
32343993307196 16182649 29160435 12977786 26 1.08333 1.21115
11510152911682 10017327 31176420 21159093 28 1.16667 1.18154
16540295520325 42915541 63416676 20501135 27 1.125 1.14134
26450091072941 35599641 50101257 14501616 24 1 1.03566
31975577877396 35589657 43206327 7616670 30 1.25 1.57196
25852934374246 3964771 23255496 19290725 26 1.08333 1.10996
12965453042746 35341276 45903681 10562405 28 1.16667 1.44636
19652285398069 35548252 44818505 9270253 34 1.41667 1.19783
25617876763115 35535368 49609618 14074250 24 1 1.07167
15536353808348 35533609 52626835 17093226 26 1.08333 1.06731
25952896238412 35511460 44846143 9334683 29 1.20833 1.61836
34056853706889 35501713 43418086 7916373 30 1.25 1.2968
33135794222852 35501021 57335257 21834236 27 1.125 1.13158
1119899552937 35469784 47341283 11871499 34 1.41667 1.01866
12708582154675 35446601 49094466 13647865 25 1.04167 1.11166
20133710768370 35445819 57162783 21716964 27 1.125 1.14023
4418745430393 47511061 56989251 9478190 31 1.29167 1.08183
3038376446766 35395720 45171423 9775703 31 1.29167 1.06099
13207113619480 35393736 49893020 14499284 27 1.125 1.2679
12950507940902 35392090 49039564 13647474 25 1.04167 1.11568
17698139104394 35387883 50325421 14937538 24 1 1.01961
11903012295071 9642444 27453662 17811218 26 1.08333 1.07191
22826078607126 35357300 52248085 16890785 27 1.125 1.09054
17824945210088 35292861 48939474 13646613 25 1.04167 1.12303
4450303217201 35286477 44363723 9077246 27 1.125 1.35242
32900018583870 29058913 41019119 11960206 26 1.08333 1.27408
18835703422497 35275883 47676725 12400842 26 1.08333 1.23721
2246187212636 35271647 51029489 15757842 33 1.375 1.13494
2627276655179 35270493 56192697 20922204 28 1.16667 1.19192
1589250775152 9881992 28417230 18535238 29 1.20833 1.18794
