Key Index-0 Index-T Lifetime ReportIndex CountStretch TimeStretch
19453552991979 36351159 57210520 20859361 58955776 1.08333 1.08367
21038357466071 28586930 43068191 14481261 44146688 1.33333 1.07448
12998822434772 36342878 51011887 14669009 53126144 2.04167 1.14413
12127968701437 36336313 52887508 16551195 56992768 2.41667 1.24803
25694122708377 40840714 56874032 16033318 56992768 1 1.00741
34126961057369 36322715 49152265 12829550 50934784 1.04167 1.13894
4548393654515 35465301 43723314 8258013 44146688 1 1.05127
8804437049870 36281567 50791127 14509560 58955776 1.16667 1.56271
8477161354184 34947317 50749565 15802248 58955776 1.04167 1.51931
29589222019306 4512328 14991378 10479050 18934784 1.125 1.37631
13653270666913 36267930 51215134 14947204 58955776 1.125 1.51787
20908726976716 34598205 46992990 12394785 48480256 1.04167 1.11999
15166599971275 8469944 29815238 21345294 34013184 1.16667 1.19667
7588537542107 36238619 46541002 10302383 48480256 1.54167 1.18823
17359529032908 37679245 53877843 16198598 54927360 1.08333 1.06479
30120104179220 12630817 34123480 21492663 42174464 1.33333 1.37459
27393524572298 36194292 46416609 10222317 48480256 1.04167 1.20188
33074723537413 36166716 46332740 10166024 46415872 1.16667 1.00818
20702788885530 36164024 54596017 18431993 58955776 1.33333 1.23653
10756536482844 36141350 44061437 7920087 44146688 1 1.01076
11290967634016 36127384 52882567 16755183 58578944 2.75 1.33998
150432985480 36121233 57121173 20999940 58955776 1.08333 1.08736
4509068539376 36116533 55645604 19529071 58955776 1.16667 1.1695
17716099150125 36111272 55991732 19880460 58955776 1.125 1.14909
7776834223005 36105296 48129293 12023997 48480256 1 1.02919
27533188760357 36089913 46311582 10221669 46415872 1 1.0102
26202784832029 36075757 43696164 7620407 46415872 1.16667 1.3569
23131317632373 36059777 43707756 7647979 44146688 1 1.05739
34455519995179 36054467 56645585 20591118 58955776 1.08333 1.11219
10108844014414 36043242 47677582 11634340 48480256 1 1.06899
25221839957050 22713356 40470554 17757198 42174464 1.125 1.09596
10730244290068 36035509 45187333 9151824 46415872 1.33333 1.13424
8162539401751 10866460 19645609 8779149 21052416 1.33333 1.16024
8155192595253 38373591 48959598 10586007 50934784 1.04167 1.18658
7997458228171 32865649 41472340 8606691 42174464 1 1.08158
33886789205785 28885068 36701384 7816316 38159360 1.16667 1.18653
16084223291589 13190719 22629897 9439178 23252992 1.29167 1.06601
3248873473560 35992080 57320284 21328204 58955776 1.04167 1.07668
34785536241323 35973133 43568630 7595497 44146688 1.04167 1.07611
22232166913579 38250078 48177032 9926954 48480256 1 1.03055
3304650947917 13661225 28705866 15044641 29631488 1 1.06153
21546533837224 13516864 30955665 17438801 31648768 1.04167 1.03974
8533411298821 43717491 58296965 14579474 58955776 1 1.04519
27024651498394 35925376 54654540 18729164 58955776 1.29167 1.22965
19592094178271 35900619 49554188 13653569 50934784 1.04167 1.10112
22294967751151 35893104 44518143 8625039 46415872 1.08333 1.22003
11993702496836 35890792 50231837 14341045 50934784 1.16667 1.04902
30259191410043 49742361 57932798 8190437 58955776 1.16667 1.1249
11477992562743 35867067 44710802 8843735 46415872 1.04167 1.1928
3893488978273 11278721 18669970 7391249 18934784 1 1.03583
22689880866477 35863920 51674955 15811035 58955776 1.04167 1.46049
14527878006962 35847358 55724079 19876721 58955776 1.16667 1.16259
6038040211725 20819664 38051868 17232204 38159360 1 1.00624
20875223614059 29481005 44074217 14593212 44146688 1 1.00497
11908927095084 35832070 45168476 9336406 46415872 1.04167 1.13361
7749769517010 9176789 30042409 20865620 34013184 1.16667 1.1903
13161767786084 35803733 57435708 21631975 58955776 1.04167 1.07027
28344926871914 18891211 28642798 9751587 29631488 1.04167 1.10139
28397956823153 35761834 43736125 7974291 44146688 1 1.05149
17819090998372 35753188 43778259 8025071 44146688 1.08333 1.04591
10784334580741 35728503 44352099 8623596 46415872 1.08333 1.23932
19392396124695 35720429 56648778 20928349 58955776 1.08333 1.11023
26096480345141 5983306 15412161 9428855 16889856 1.41667 1.15672
3906846067217 22400493 43651351 21250858 50934784 1.33333 1.34274
4798340141190 1638541 8975246 7336705 11108352 1.20833 1.29074
13100135147916 35688015 44836993 9148978 46415872 1.375 1.17257
27020823056790 35683781 43554845 7871064 46415872 1.125 1.36349
6970814727751 30059310 43684396 13625086 44146688 1.125 1.03393
29498491494508 35638753 49289130 13650377 50934784 1.04167 1.12056
14897913715238 35631665 54056515 18424850 58955776 1.375 1.26591
30512003876883 35630730 46544036 10913306 48480256 1.625 1.17742
9568845349803 21209544 37378673 16169129 38159360 1.08333 1.04828
8777536271768 35706990 43284923 7577933 44146688 1.04167 1.11372
32343993307196 16182649 29160435 12977786 31648768 1.08333 1.19174
11510152911682 10017327 31176420 21159093 34013184 1.125 1.13407
26450091072941 35599641 50101257 14501616 50934784 1 1.05748
31975577877396 35589657 43206327 7616670 44146688 1.04167 1.12346
25852934374246 3964771 23255496 19290725 25348096 1.08333 1.10848
12965453042746 35341276 45903681 10562405 46415872 1 1.04849
19652285398069 35548252 44818505 9270253 46415872 1.375 1.17231
25617876763115 35535368 49609618 14074250 50934784 1.04167 1.09416
15536353808348 35533609 52626835 17093226 58578944 2.79167 1.34821
25952896238412 35511460 44846143 9334683 46415872 1.04167 1.16816
34056853706889 35501713 43418086 7916373 44146688 1.125 1.09204
33135794222852 35501021 57335257 21834236 58955776 1.04167 1.07422
1119899552937 35469784 47341283 11871499 48480256 1.625 1.09594
12708582154675 35446601 49094466 13647865 50934784 1.04167 1.13484
20133710768370 35445819 57162783 21716964 58955776 1.04167 1.08256
4418745430393 47511061 56989251 9478190 58955776 1.41667 1.20748
3038376446766 35395720 45171423 9775703 46415872 1.41667 1.1273
13207113619480 35393736 49893020 14499284 50934784 1 1.07185
12950507940902 35392090 49039564 13647474 50934784 1.04167 1.13887
17698139104394 35387883 50325421 14937538 58955776 1.125 1.57776
11903012295071 9642444 27453662 17811218 34013184 1.58333 1.36828
22826078607126 35357300 52248085 16890785 56992768 2.45833 1.2809
17824945210088 35292861 48939474 13646613 50934784 1.04167 1.14621
4450303217201 35286477 44363723 9077246 46415872 1.08333 1.22608
32900018583870 29058913 41019119 11960206 42174464 1.04167 1.0966
18835703422497 35275883 47676725 12400842 48480256 1 1.0648
2246187212636 35271647 51029489 15757842 53700608 2.125 1.16951
2627276655179 35270493 56192697 20922204 58955776 1.125 1.13206
1589250775152 9881992 28417230 18535238 34013184 1.375 1.30191
961779933462 35300650 43064861 7764211 44146688 1.04167 1.13934
14879076777715 35241019 43671483 8430464 44146688 1.125 1.05637
26474892176570 35228871 46485879 11257008 48480256 1.04167 1.17717
17750186002773 11525625 31469414 19943789 34013184 1.125 1.12755
21251394421090 56161208 64531283 8370075 65642496 1.04167 1.13276
9949012432658 3765271 18134126 14368855 18934784 1 1.05572
32384255282960 25688980 47211914 21522934 50934784 1.16667 1.17297
28856640511847 12371712 31343630 18971918 31648768 1 1.01608
13226323127605 18284426 26174669 7890243 27497472 1.20833 1.16765
30215465487556 35153335 56776494 21623159 58955776 1.08333 1.10078
8828264832947 35143306 43113759 7970453 44146688 1.04167 1.12959
24190863432183 41295933 55853762 14557829 56992768 1 1.07824
8286846808145 35140349 52028334 16887985 56992768 2.54167 1.29396
31870815583591 35131946 43102318 7970372 44146688 1.04167 1.13103
2122193036244 45676435 63598999 17922564 65642496 1.125 1.11402
11769231061678 1623289 16325560 14702271 25348096 1.08333 1.61368
16960042423189 35120644 55962538 20841894 58955776 1.125 1.14362
8405423358196 35109324 47926781 12817457 48480256 1 1.04318
34410626627068 35069808 47383561 12313753 48480256 1.66667 1.08906
29340122800891 35059045 56975343 21916298 58955776 1.08333 1.09036
15914747876973 35057195 43168247 8111052 44146688 1.16667 1.12063
28920536146464 35026079 43645746 8619667 44146688 1 1.05812
25146097806385 35012735 45902972 10890237 46415872 1 1.0471
14703151339249 35009767 44920785 9911018 46415872 1.45833 1.15085
1329285565 1909693 9256616 7346923 11108352 1.08333 1.25204
22006760875595 35005858 44337881 9332023 46415872 1.08333 1.22267
17077203009562 35005312 44337308 9331996 46415872 1.08333 1.22274
5746592726996 34955361 54468423 19513062 58955776 1.25 1.22997
24124458390985 27509287 47972217 20462930 50934784 1.125 1.14478
12184782343556 34945544 46570361 11624817 48480256 1.04167 1.16429
6671639560339 34924525 43999553 9075028 44146688 1 1.01621
15577756277251 34923805 43349192 8425387 44146688 1.04167 1.09465
3338096372549 34919168 42532717 7613549 44146688 1.08333 1.21199
4794212672868 34918667 44829401 9910734 46415872 1.45833 1.16008
9032756458477 34912853 51146500 16233647 58955776 1 1.48105
27299545656167 34880723 42979786 8099063 46415872 1.16667 1.42426
14585684300696 24142588 38509852 14367264 40365056 1.04167 1.12913
17238367351269 34874704 55164328 20289624 58955776 1.16667 1.18687
15312931421958 33900825 43511912 9611087 44146688 1 1.06605
12852399404585 7471050 14818210 7347160 16889856 1.16667 1.28197
27611024743192 17890690 33451644 15560954 42174464 1.04167 1.56056
33966692096851 29508988 51312950 21803962 58955776 1.33333 1.35052
22805630802973 34864600 56177024 21312424 58955776 1.125 1.13038
3018534176688 42023260 56589393 14566133 56992768 1 1.02769
16245599757738 34858669 42969254 8110585 44146688 1.16667 1.14517
17905924297914 2845978 22304926 19458948 25348096 1.16667 1.15639
11329216326260 34823132 51563647 16740515 56992768 2.70833 1.32431
15126789829127 5106376 17185749 12079373 18934784 1.79167 1.1448
20871525419489 52894846 62076926 9182080 63384576 1.04167 1.14241
18612007095883 13800795 23209102 9408307 23252992 1 1.00467
32677345843604 36233344 50741939 14508595 58955776 1.16667 1.56614
23749170267472 34757214 48399379 13642165 48480256 1 1.00593
29560424500557 34730021 43873815 9143794 44146688 1.16667 1.02984
9525580648597 34720084 47933044 13212960 50934784 1.08333 1.22718
29130212210427 34711751 49642545 14930794 50934784 1.04167 1.08655
18488980873271 5746119 20410416 14664297 21052416 1.08333 1.04378
26611632781446 34685358 46307982 11622624 46415872 1 1.00928
33249657371594 34682245 56140998 21458753 58955776 1.125 1.13117
29400698902562 28221903 49688615 21466712 50934784 1.04167 1.05805
29930429181430 9340655 18402151 9061496 18934784 1 1.05878
8711497320868 40968951 50915850 9946899 52505600 1.04167 1.15982
35039180409052 34648672 49140541 14491869 50934784 1.04167 1.12381
28504541209437 34647679 54027203 19379524 58955776 1.29167 1.25432
6113100577489 34641764 46383916 11742152 46415872 1 1.00272
5659736282124 34640630 49132372 14491742 50934784 1.04167 1.12438
16029347368330 34640079 46262405 11622326 46415872 1 1.0132
22634294540721 34612018 43266495 8654477 44146688 1.20833 1.1017
33129246712839 34601345 44502185 9900840 46415872 1.04167 1.19329
27190354377660 34545580 46556136 12010556 48480256 1.04167 1.1602
28582587249043 34539182 48370646 13831464 50934784 2.04167 1.18538
120161882534 7926106 28496616 20570510 34013184 1.25 1.26818
20033567605128 21890268 30111061 8220793 31648768 1.25 1.18705
12852381612637 34524457 50688889 16164432 54927360 2.5 1.26221
953826947222 20364268 36519429 16155161 38159360 1.16667 1.10151
30780238718914 1314019 13612569 12298550 15195136 1.79167 1.12868
10047899612409 34471422 44370904 9899482 46415872 1.08333 1.20657
10769494412484 10380553 28646372 18265819 34013184 1.375 1.29382
2622357275772 6174942 21470628 15295686 23252992 1.04167 1.11653
16314138245611 34616778 49108118 14491340 58955776 1.16667 1.67955
11459294858500 49892047 57557884 7665837 58955776 1.125 1.18235
5236854897024 34409875 42516366 8106491 44146688 1.25 1.20111
34067730631223 34399321 49982802 15583481 50934784 1.125 1.06109
5201551202902 34391007 51641166 17250159 58955776 3 1.42403
17496906637438 34385896 53638553 19252657 58955776 1.33333 1.27618
13298990109628 29806545 38789239 8982694 40365056 1.33333 1.17543
21092866497821 34369340 46231795 11862455 46415872 1.375 1.01552
12116618465574 6770242 16103955 9333713 16889856 1.33333 1.0842
8670271290093 34366595 44575191 10208596 46415872 1.04167 1.18031
20627804984782 29674054 37612155 7938101 40365056 1.125 1.3468
32925754793927 34349182 42769541 8420359 44146688 1.04167 1.16355
32018613942495 34343200 53595404 19252204 58955776 1.33333 1.27843
11454241094336 34749695 50981560 16231865 58955776 1 1.49127
1129759289724 34342000 44550599 10208599 46415872 1.04167 1.18272
31211411446560 10155175 18346183 8191008 18934784 1 1.07186
26372275745713 52543574 64774446 12230872 65642496 1.625 1.07097
21285541991045 15560033 34608426 19048393 42174464 1.5 1.3972
19543637867395 34308042 42170760 7862718 44146688 1.08333 1.2513
26838216702540 34304063 42724121 8420058 44146688 1.04167 1.16895
1936198569502 32487573 47821266 15333693 48480256 1 1.04298
34439014929411 23191701 31324224 8132523 31648768 1.08333 1.03991
21495712427167 34294453 55123916 20829463 58955776 1.16667 1.18396
9070275083136 34293717 46301674 12007957 46415872 1 1.00951
28025448819737 25349617 34930539 9580922 35863552 1.33333 1.09738
5284287522241 15609391 26077831 10468440 27497472 1.54167 1.13561
26331242831823 34284243 52072667 17788424 58955776 1.91667 1.38694
16991479112100 54862179 63397695 8535516 65642496 1.08333 1.263
