Key Index-0 Index-T Lifetime ReportIndex CountStretch TimeStretch
19453552991979 36351159 57210520 20859361 57254912 1 1.00213
21038357466071 28586930 43068191 14481261 45590528 2.125 1.17418
12998822434772 36342878 51011887 14669009 53376000 2.125 1.16116
12127968701437 36336313 52887508 16551195 57254912 2.5 1.26387
25694122708377 40840714 56874032 16033318 58792960 1.25 1.11968
34126961057369 36322715 49152265 12829550 50792448 1.04167 1.12784
4548393654515 35465301 43723314 8258013 44295168 1 1.06925
8804437049870 36281567 50791127 14509560 58792960 1.16667 1.55149
8477161354184 34947317 50749565 15802248 50792448 1 1.00271
29589222019306 4512328 14991378 10479050 17049600 1.04167 1.19641
13653270666913 36267930 51215134 14947204 58792960 1.125 1.50697
20908726976716 34598205 46992990 12394785 48569344 1.04167 1.12718
15166599971275 8469944 29815238 21345294 34057216 1.16667 1.19873
7588537542107 36238619 46541002 10302383 48569344 1.54167 1.19688
17359529032908 37679245 53877843 16198598 54987776 1.125 1.06852
30120104179220 12630817 34123480 21492663 42181632 1.33333 1.37493
27393524572298 36194292 46416609 10222317 48569344 1.08333 1.21059
33074723537413 36166716 46332740 10166024 48569344 1.54167 1.22001
20702788885530 36164024 54596017 18431993 58792960 1.29167 1.2277
10756536482844 36141350 44061437 7920087 44295168 1.04167 1.02951
11290967634016 36127384 52882567 16755183 57254912 2.41667 1.26095
150432985480 36121233 57121173 20999940 58792960 1.04167 1.07961
4509068539376 36116533 55645604 19529071 58792960 1.16667 1.16116
17716099150125 36111272 55991732 19880460 58792960 1.125 1.1409
7776834223005 36105296 48129293 12023997 50792448 1.08333 1.22149
27533188760357 36089913 46311582 10221669 48569344 1.08333 1.22088
26202784832029 36075757 43696164 7620407 44295168 1.04167 1.07861
23131317632373 36059777 43707756 7647979 44295168 1.04167 1.07681
34455519995179 36054467 56645585 20591118 58792960 1.08333 1.10429
10108844014414 36043242 47677582 11634340 48569344 1 1.07665
25221839957050 22713356 40470554 17757198 42181632 1.125 1.09636
10730244290068 36035509 45187333 9151824 46294016 1.29167 1.12092
8162539401751 10866460 19645609 8779149 21101568 1.33333 1.16584
8155192595253 38373591 48959598 10586007 50792448 1.04167 1.17314
7997458228171 32865649 41472340 8606691 44295168 1.125 1.32798
33886789205785 28885068 36701384 7816316 37786624 1.125 1.13884
16084223291589 13190719 22629897 9439178 23336960 1.29167 1.07491
3248873473560 35992080 57320284 21328204 58792960 1.04167 1.06905
34785536241323 35973133 43568630 7595497 44295168 1.04167 1.09565
22232166913579 38250078 48177032 9926954 50792448 1.08333 1.26347
3304650947917 13661225 28705866 15044641 29891584 1.04167 1.07881
21546533837224 13516864 30955665 17438801 31781888 1.04167 1.04738
8533411298821 43717491 58296965 14579474 58792960 1 1.03402
27024651498394 35925376 54654540 18729164 58792960 1.29167 1.22096
19592094178271 35900619 49554188 13653569 50792448 1.04167 1.09069
22294967751151 35893104 44518143 8625039 46294016 1.08333 1.2059
11993702496836 35890792 50231837 14341045 50792448 1.125 1.03909
30259191410043 49742361 57932798 8190437 58792960 1.16667 1.10502
11477992562743 35867067 44710802 8843735 46294016 1.04167 1.17902
3893488978273 11278721 18669970 7391249 18974720 1 1.04123
22689880866477 35863920 51674955 15811035 58792960 1.04167 1.45019
14527878006962 35847358 55724079 19876721 58792960 1.16667 1.1544
6038040211725 20819664 38051868 17232204 40098816 1.16667 1.11879
20875223614059 29481005 44074217 14593212 45775872 1.95833 1.11661
11908927095084 35832070 45168476 9336406 46294016 1.04167 1.12055
7749769517010 9176789 30042409 20865620 34057216 1.16667 1.19241
